Day,Period,Class,Subject,Absent_Faculty,Substitute_Faculty,Was_Free_That_Period,Substitution_Success
Tuesday,5,CSE-C,Compiler Design,Dr. Yash Iyer,None,0,0
Monday,6,CSE-B,NLP,Dr. Rina Joshi,Dr. Tanya Iyer,1,1
Wednesday,8,CSE-C,Digital Logic,Dr. Mehul Sinha,Dr. Ruchi Mehta,1,1
Friday,6,CSE-CS,Machine Learning,Dr. Amit Sinha,None,0,0
Thursday,8,CSE-C,Computer Graphics,Dr. Divya Iyer,Dr. Preeti Sinha,1,1
Friday,6,CSE-CS,NLP,Dr. Tanya Iyer,Dr. Rina Joshi,1,1
Thursday,4,CSE-A,AR/VR,Dr. Garima Verma,Dr. Mehul Joshi,1,1
Thursday,7,CSE-DS,AI,Dr. Isha Iyer,None,0,0
Friday,3,CSE-IOT,Java Programming,Dr. Sameer Sinha,None,0,0
Tuesday,1,CSE-AIML,Digital Logic,Dr. Rohit Kapoor,Dr. Ruchi Mehta,1,1
Wednesday,4,CSE-C,OS Lab,Dr. Payal Kapoor,None,0,0
Wednesday,3,CSE-F,CN Lab,Dr. Mehul Tiwari,Dr. Anjali Tiwari,1,1
Monday,6,CSE-AIML,Ethics in AI,Dr. Vikas Verma,Dr. Ayesha Tiwari,1,1
Thursday,4,CSE-B,DBMS Lab,Dr. Rajat Batra,Dr. Tanvi Verma,1,1
Thursday,4,CSE-IOT,Software Engineering,Dr. Abhay Kapoor,Dr. Abhay Iyer,1,1
Monday,2,CSE-A,DBMS Lab,Dr. Rajat Batra,None,0,0
Friday,8,CSE-CS,Communication Skills,Dr. Anjali Kapoor,None,0,0
Tuesday,4,CSE-AIML,Java Programming,Dr. Sameer Sinha,Dr. Rajat Verma,1,1
Friday,5,CSE-B,Operating Systems,Dr. Varun Kapoor,Dr. Sameer Kapoor,1,1
Tuesday,7,CSE-IOT,Cybersecurity,Dr. Pooja Mehta,Dr. Priya Iyer,1,1
Wednesday,2,CSE-DS,Web Development,Dr. Isha Verma,None,0,0
Friday,7,CSE-D,OS Lab,Dr. Payal Kapoor,Dr. Tina Mehta,1,1
Monday,2,CSE-A,Software Engineering,Dr. Abhay Iyer,None,0,0
Thursday,8,CSE-E,Cloud Computing,Dr. Mohit Tiwari,None,0,0
Friday,6,CSE-B,Cloud Computing,Dr. Mohit Tiwari,Dr. Rohit Joshi,1,1
Friday,7,CSE-D,Ethics in AI,Dr. Vikas Verma,Dr. Preeti Batra,1,1
Wednesday,6,CSE-A,Software Engineering,Dr. Abhay Kapoor,None,0,0
Tuesday,2,CSE-DS,AI,Dr. Isha Iyer,None,0,0
Friday,8,CSE-CS,Software Engineering,Dr. Abhay Kapoor,Dr. Abhay Iyer,1,1
Monday,7,CSE-IOT,Data Structures,Dr. Sameer Batra,None,0,0
Tuesday,3,CSE-F,DBMS,Dr. Deepak Kapoor,Dr. Uday Iyer,1,1
Wednesday,1,CSE-B,Data Structures,Dr. Simran Rao,Dr. Sameer Batra,1,1
Wednesday,3,CSE-B,Blockchain,Dr. Kritika Iyer,None,0,0
Tuesday,4,CSE-DS,AI,Dr. Isha Iyer,Dr. Ayesha Sinha,1,1
Thursday,8,CSE-IOT,Operating Systems,Dr. Sameer Kapoor,None,0,0
Wednesday,2,CSE-C,Software Engineering,Dr. Abhay Kapoor,None,0,0
Friday,8,CSE-AIML,Python Programming,Dr. Yash Batra,None,0,0
Wednesday,4,CSE-CS,DBMS Lab,Dr. Rajat Batra,Dr. Tanvi Verma,1,1
Thursday,7,CSE-DS,AI,Dr. Isha Iyer,Dr. Ayesha Sinha,1,1
Monday,4,CSE-AIML,Cybersecurity,Dr. Rina Sharma,Dr. Pooja Mehta,1,1
Monday,6,CSE-C,Computer Networks,Dr. Mehul Mehta,None,0,0
Monday,8,CSE-A,Java Programming,Dr. Sameer Sinha,Dr. Rajat Verma,1,1
Monday,7,CSE-A,NLP,Dr. Tanya Iyer,None,0,0
Wednesday,4,CSE-DS,Computer Networks,Dr. Mehul Mehta,None,0,0
Tuesday,7,CSE-A,OOPs,Dr. Pallavi Sharma,Dr. Alok Iyer,1,1
Monday,4,CSE-AIML,OS Lab,Dr. Tina Mehta,None,0,0
Tuesday,7,CSE-C,Digital Logic,Dr. Rohit Kapoor,None,0,0
Friday,7,CSE-B,Computer Graphics,Dr. Mehul Verma,None,0,0
Monday,6,CSE-DS,Python Programming,Dr. Garima Rao,Dr. Yash Batra,1,1
Monday,5,CSE-DS,Computer Graphics,Dr. Divya Iyer,None,0,0
Monday,1,CSE-A,Computer Networks,Dr. Mehul Mehta,Dr. Divya Joshi,1,1
Friday,2,CSE-F,Computer Networks,Dr. Mehul Mehta,None,0,0
Tuesday,2,CSE-F,Java Programming,Dr. Sameer Sinha,None,0,0
Thursday,2,CSE-IOT,Ethics in AI,Dr. Vikas Verma,Dr. Ayesha Tiwari,1,1
Thursday,1,CSE-C,Ethics in AI,Dr. Preeti Batra,Dr. Ayesha Tiwari,1,1
Wednesday,8,CSE-B,Cybersecurity,Dr. Rina Sharma,None,0,0
Monday,3,CSE-D,Operating Systems,Dr. Sameer Kapoor,None,0,0
Monday,8,CSE-E,Digital Logic,Dr. Rohit Kapoor,Dr. Ruchi Mehta,1,1
Thursday,4,CSE-C,Software Engineering,Dr. Abhay Iyer,None,0,0
Wednesday,3,CSE-F,Web Development,Dr. Isha Verma,Dr. Rohit Mehta,1,1
Wednesday,7,CSE-D,Computer Graphics,Dr. Preeti Sinha,Dr. Divya Iyer,1,1
Monday,4,CSE-D,Web Development,Dr. Isha Verma,None,0,0
Friday,2,CSE-CS,Computer Networks,Dr. Divya Joshi,None,0,0
Monday,2,CSE-F,Communication Skills,Dr. Vikas Sharma,None,0,0
Tuesday,4,CSE-D,Cloud Computing,Dr. Rohit Joshi,Dr. Mohit Tiwari,1,1
Thursday,1,CSE-IOT,Ethics in AI,Dr. Preeti Batra,None,0,0
Monday,8,CSE-A,Digital Logic,Dr. Ruchi Mehta,None,0,0
Wednesday,4,CSE-DS,AR/VR,Dr. Garima Sharma,Dr. Garima Verma,1,1
Thursday,6,CSE-E,Computer Networks,Dr. Mehul Mehta,Dr. Divya Joshi,1,1
Thursday,8,CSE-AIML,OS Lab,Dr. Payal Kapoor,Dr. Tina Mehta,1,1
Wednesday,6,CSE-IOT,AI,Dr. Ayesha Sinha,None,0,0
Monday,5,CSE-A,Web Development,Dr. Isha Verma,None,0,0
Monday,3,CSE-C,NLP,Dr. Rina Joshi,None,0,0
Tuesday,4,CSE-C,Machine Learning,Dr. Amit Sinha,None,0,0
Monday,3,CSE-AIML,Cloud Computing,Dr. Rohit Joshi,None,0,0
Friday,8,CSE-E,OOPs,Dr. Alok Iyer,Dr. Pallavi Sharma,1,1
Thursday,2,CSE-DS,Web Development,Dr. Rohit Mehta,None,0,0
Thursday,6,CSE-AIML,Communication Skills,Dr. Shruti Sinha,Dr. Anjali Kapoor,1,1
Friday,2,CSE-E,DBMS Lab,Dr. Rajat Batra,Dr. Tanvi Verma,1,1
Friday,2,CSE-A,Ethics in AI,Dr. Ayesha Tiwari,None,0,0
Thursday,6,CSE-CS,DBMS Lab,Dr. Tanvi Verma,None,0,0
Wednesday,1,CSE-AIML,Computer Networks,Dr. Divya Joshi,None,0,0
Monday,8,CSE-F,Project Lab,Dr. Kunal Batra,None,0,0
Thursday,1,CSE-E,DBMS Lab,Dr. Tanvi Verma,None,0,0
Friday,1,CSE-CS,Cybersecurity,Dr. Pooja Mehta,Dr. Rina Sharma,1,1
Tuesday,4,CSE-B,Ethics in AI,Dr. Vikas Verma,None,0,0
Tuesday,7,CSE-B,Python Programming,Dr. Yash Batra,Dr. Rohit Batra,1,1
Wednesday,6,CSE-E,DBMS Lab,Dr. Rajat Batra,Dr. Tanvi Verma,1,1
Wednesday,3,CSE-F,Project Lab,Dr. Mohit Joshi,None,0,0
Tuesday,2,CSE-AIML,Cybersecurity,Dr. Rina Sharma,Dr. Priya Iyer,1,1
Friday,4,CSE-E,Machine Learning,Dr. Amit Sinha,None,0,0
Tuesday,3,CSE-E,DBMS Lab,Dr. Rajat Batra,Dr. Tanvi Verma,1,1
Friday,6,CSE-D,Software Engineering,Dr. Abhay Kapoor,Dr. Abhay Iyer,1,1
Thursday,6,CSE-D,Java Programming,Dr. Sameer Sinha,None,0,0
Wednesday,5,CSE-IOT,Blockchain,Dr. Kritika Iyer,None,0,0
Friday,2,CSE-A,Python Programming,Dr. Yash Batra,Dr. Garima Rao,1,1
Monday,2,CSE-A,Machine Learning,Dr. Amit Sinha,Dr. Komal Batra,1,1
Friday,7,CSE-D,AI,Dr. Ayesha Sinha,None,0,0
Friday,6,CSE-B,Java Programming,Dr. Rajat Verma,None,0,0
Wednesday,7,CSE-B,DBMS,Dr. Deepak Kapoor,Dr. Uday Iyer,1,1
Tuesday,3,CSE-F,Python Programming,Dr. Yash Batra,Dr. Garima Rao,1,1
Wednesday,3,CSE-D,Computer Graphics,Dr. Mehul Verma,None,0,0
Monday,4,CSE-AIML,DBMS Lab,Dr. Rajat Batra,None,0,0
Wednesday,4,CSE-D,DBMS,Dr. Uday Iyer,None,0,0
Friday,1,CSE-F,OS Lab,Dr. Payal Kapoor,Dr. Tina Mehta,1,1
Tuesday,6,CSE-CS,Computer Networks,Dr. Mehul Mehta,Dr. Divya Joshi,1,1
Thursday,8,CSE-AIML,Project Lab,Dr. Kunal Batra,None,0,0
Tuesday,6,CSE-CS,OS Lab,Dr. Tina Mehta,None,0,0
Wednesday,5,CSE-IOT,Data Structures,Dr. Simran Rao,None,0,0
Tuesday,1,CSE-CS,Data Structures,Dr. Simran Rao,None,0,0
Monday,4,CSE-B,Operating Systems,Dr. Sneha Sharma,Dr. Varun Kapoor,1,1
Friday,6,CSE-A,DBMS Lab,Dr. Tanvi Verma,None,0,0
Tuesday,1,CSE-D,Digital Logic,Dr. Mehul Sinha,None,0,0
Monday,1,CSE-AIML,DBMS Lab,Dr. Tanvi Verma,Dr. Rajat Batra,1,1
Thursday,3,CSE-F,Java Programming,Dr. Sameer Sinha,None,0,0
Monday,6,CSE-DS,Digital Logic,Dr. Rohit Kapoor,Dr. Ruchi Mehta,1,1
Wednesday,5,CSE-B,Computer Graphics,Dr. Mehul Verma,Dr. Preeti Sinha,1,1
Friday,4,CSE-AIML,Ethics in AI,Dr. Vikas Verma,None,0,0
Wednesday,7,CSE-F,Project Lab,Dr. Kunal Batra,None,0,0
Thursday,1,CSE-DS,Computer Graphics,Dr. Divya Iyer,Dr. Mehul Verma,1,1
Tuesday,4,CSE-CS,CN Lab,Dr. Anjali Tiwari,None,0,0
Tuesday,8,CSE-D,Cloud Computing,Dr. Rohit Joshi,Dr. Mohit Tiwari,1,1
Wednesday,7,CSE-E,OS Lab,Dr. Payal Kapoor,Dr. Tina Mehta,1,1
Monday,2,CSE-E,DBMS,Dr. Deepak Kapoor,None,0,0
Friday,2,CSE-F,Computer Graphics,Dr. Divya Iyer,None,0,0
Thursday,6,CSE-AIML,Python Programming,Dr. Yash Batra,None,0,0
Friday,2,CSE-A,NLP,Dr. Rina Joshi,None,0,0
Monday,7,CSE-AIML,Operating Systems,Dr. Sneha Sharma,None,0,0
Thursday,2,CSE-E,Operating Systems,Dr. Sneha Sharma,Dr. Varun Kapoor,1,1
Wednesday,8,CSE-DS,Web Development,Dr. Isha Verma,Dr. Rohit Mehta,1,1
Thursday,4,CSE-B,DBMS,Dr. Uday Iyer,None,0,0
Monday,8,CSE-IOT,OOPs,Dr. Alok Iyer,Dr. Pallavi Sharma,1,1
Thursday,2,CSE-D,Computer Networks,Dr. Mehul Mehta,Dr. Divya Joshi,1,1
Monday,6,CSE-CS,Software Engineering,Dr. Abhay Kapoor,Dr. Abhay Iyer,1,1
Tuesday,6,CSE-E,Blockchain,Dr. Mohit Mehta,Dr. Kritika Iyer,1,1
Monday,1,CSE-A,Cloud Computing,Dr. Mohit Tiwari,Dr. Rohit Joshi,1,1
Tuesday,6,CSE-F,Computer Networks,Dr. Mehul Mehta,Dr. Divya Joshi,1,1
Monday,4,CSE-DS,AR/VR,Dr. Garima Verma,Dr. Garima Sharma,1,1
Thursday,1,CSE-A,AR/VR,Dr. Garima Verma,None,0,0
Thursday,8,CSE-C,Computer Graphics,Dr. Preeti Sinha,Dr. Divya Iyer,1,1
Tuesday,4,CSE-CS,Computer Graphics,Dr. Preeti Sinha,None,0,0
Wednesday,7,CSE-IOT,Data Structures,Dr. Jyoti Mehta,None,0,0
Tuesday,2,CSE-AIML,Python Programming,Dr. Rohit Batra,Dr. Yash Batra,1,1
Monday,2,CSE-C,DBMS,Dr. Deepak Kapoor,Dr. Uday Iyer,1,1
Thursday,5,CSE-C,DBMS,Dr. Deepak Kapoor,None,0,0
Thursday,2,CSE-IOT,Java Programming,Dr. Rajat Verma,None,0,0
Wednesday,1,CSE-IOT,Java Programming,Dr. Rajat Verma,Dr. Sameer Sinha,1,1
Friday,4,CSE-E,Java Programming,Dr. Sameer Sinha,None,0,0
Wednesday,7,CSE-DS,Communication Skills,Dr. Vikas Sharma,None,0,0
Monday,4,CSE-C,Machine Learning,Dr. Komal Batra,Dr. Amit Sinha,1,1
Tuesday,3,CSE-C,AR/VR,Dr. Garima Verma,None,0,0
Friday,3,CSE-F,OOPs,Dr. Alok Iyer,None,0,0
Tuesday,2,CSE-DS,Communication Skills,Dr. Anjali Kapoor,Dr. Shruti Sinha,1,1
Thursday,4,CSE-AIML,Computer Graphics,Dr. Mehul Verma,None,0,0
Wednesday,1,CSE-D,Computer Graphics,Dr. Divya Iyer,None,0,0
Friday,5,CSE-C,Digital Logic,Dr. Mehul Sinha,None,0,0
Monday,8,CSE-IOT,Project Lab,Dr. Mohit Joshi,Dr. Kunal Batra,1,1
Monday,8,CSE-CS,Web Development,Dr. Rohit Mehta,None,0,0
Friday,2,CSE-CS,NLP,Dr. Rina Joshi,Dr. Tanya Iyer,1,1
Wednesday,7,CSE-C,Operating Systems,Dr. Varun Kapoor,None,0,0
Tuesday,2,CSE-E,OOPs,Dr. Alok Iyer,None,0,0
Wednesday,3,CSE-A,DBMS Lab,Dr. Rajat Batra,None,0,0
Monday,7,CSE-CS,NLP,Dr. Tanya Iyer,Dr. Rina Joshi,1,1
Tuesday,7,CSE-F,CN Lab,Dr. Anjali Tiwari,Dr. Mehul Tiwari,1,1
Wednesday,1,CSE-A,AI,Dr. Ayesha Sinha,None,0,0
Thursday,7,CSE-AIML,Computer Graphics,Dr. Mehul Verma,None,0,0
Thursday,6,CSE-A,Compiler Design,Dr. Sanjay Kapoor,Dr. Harsh Joshi,1,1
Tuesday,3,CSE-F,Software Engineering,Dr. Abhay Iyer,Dr. Abhay Kapoor,1,1
Thursday,6,CSE-IOT,NLP,Dr. Tanya Iyer,Dr. Rina Joshi,1,1
Thursday,5,CSE-D,NLP,Dr. Rina Joshi,Dr. Tanya Iyer,1,1
Thursday,2,CSE-F,Compiler Design,Dr. Harsh Joshi,Dr. Yash Iyer,1,1
Thursday,8,CSE-B,Ethics in AI,Dr. Preeti Batra,Dr. Vikas Verma,1,1
Monday,2,CSE-CS,Data Structures,Dr. Jyoti Mehta,None,0,0
Friday,5,CSE-IOT,Data Structures,Dr. Jyoti Mehta,Dr. Simran Rao,1,1
Tuesday,2,CSE-F,DBMS,Dr. Deepak Kapoor,None,0,0
Tuesday,5,CSE-C,Operating Systems,Dr. Varun Kapoor,Dr. Sameer Kapoor,1,1
Friday,3,CSE-A,Machine Learning,Dr. Amit Sinha,None,0,0
Tuesday,6,CSE-E,AI,Dr. Isha Iyer,Dr. Ayesha Sinha,1,1
Tuesday,1,CSE-IOT,CN Lab,Dr. Mehul Tiwari,None,0,0
Monday,3,CSE-CS,AR/VR,Dr. Garima Verma,None,0,0
Thursday,4,CSE-D,Python Programming,Dr. Yash Batra,None,0,0
Monday,8,CSE-CS,Compiler Design,Dr. Yash Iyer,Dr. Sanjay Kapoor,1,1
Friday,2,CSE-A,AR/VR,Dr. Garima Sharma,Dr. Mehul Joshi,1,1
Wednesday,2,CSE-DS,Operating Systems,Dr. Sneha Sharma,Dr. Varun Kapoor,1,1
Thursday,1,CSE-IOT,DBMS,Dr. Uday Iyer,None,0,0
Thursday,7,CSE-IOT,AR/VR,Dr. Garima Verma,Dr. Garima Sharma,1,1
Tuesday,1,CSE-IOT,Project Lab,Dr. Kunal Batra,Dr. Mohit Joshi,1,1
Tuesday,7,CSE-DS,Machine Learning,Dr. Amit Sinha,None,0,0
Thursday,7,CSE-D,DBMS Lab,Dr. Tanvi Verma,None,0,0
Wednesday,8,CSE-D,AR/VR,Dr. Garima Verma,Dr. Garima Sharma,1,1
Tuesday,1,CSE-D,Web Development,Dr. Rohit Mehta,Dr. Isha Verma,1,1
Thursday,6,CSE-CS,Compiler Design,Dr. Yash Iyer,None,0,0
Monday,7,CSE-CS,OOPs,Dr. Pallavi Sharma,None,0,0
Monday,3,CSE-E,OOPs,Dr. Alok Iyer,Dr. Pallavi Sharma,1,1
Wednesday,3,CSE-CS,Operating Systems,Dr. Sameer Kapoor,None,0,0
Tuesday,3,CSE-D,DBMS Lab,Dr. Rajat Batra,None,0,0
Wednesday,2,CSE-AIML,Blockchain,Dr. Mohit Mehta,Dr. Kritika Iyer,1,1
Monday,2,CSE-F,NLP,Dr. Tanya Iyer,Dr. Rina Joshi,1,1
Wednesday,3,CSE-A,Cloud Computing,Dr. Rohit Joshi,None,0,0
Monday,7,CSE-IOT,Operating Systems,Dr. Sneha Sharma,None,0,0
Friday,2,CSE-DS,Computer Graphics,Dr. Divya Iyer,None,0,0
Thursday,5,CSE-IOT,CN Lab,Dr. Mehul Tiwari,Dr. Anjali Tiwari,1,1
Monday,2,CSE-D,Computer Graphics,Dr. Preeti Sinha,None,0,0
Friday,4,CSE-A,Ethics in AI,Dr. Vikas Verma,Dr. Preeti Batra,1,1
Friday,8,CSE-IOT,Digital Logic,Dr. Rohit Kapoor,None,0,0
